,0,1,2,3,4,5,6,7
0,0.0,3.669673,-3.4503708,0.0,30.0,-20.0,2.0,4.0
1,0.0,3.3338764,-3.1232781,0.0,0.0,0.0,2.0,0.0
2,0.0,3.2323754,-3.0269043,0.0,-15.0,-40.0,2.0,10.0
3,0.0,3.5855486,-3.3630862,0.0,0.0,-40.0,2.0,1.0
4,0.0,3.7636805,-3.5387433,0.0,0.0,20.0,2.0,1.0
5,0.0,3.3497095,-3.1365821,0.0,-15.0,-40.0,2.0,10.0
6,0.0,3.7183788,-3.4488559,0.0,30.0,-40.0,2.0,5.0
7,0.0,3.191192,-2.9964905,0.0,-15.0,-20.0,2.0,6.0
8,0.0,3.9334826,-3.6818109,0.0,15.0,40.0,2.0,1.0
9,0.0,3.578359,-3.3457317,0.0,-30.0,40.0,2.0,5.0
10,0.0,3.6996348,-3.2992146,0.0,-30.0,0.0,2.0,1.0
11,0.0,3.3998969,-3.1818955,0.0,15.0,-40.0,2.0,10.0
12,0.0,3.4640055,-3.245412,0.0,0.0,-20.0,2.0,10.0
13,0.0,3.7018416,-3.4836967,0.0,0.0,20.0,2.0,4.0
14,0.0,3.2710166,-3.0600033,0.0,-15.0,-20.0,2.0,10.0
15,0.0,3.5069032,-3.2891695,0.0,-15.0,40.0,2.0,6.0
16,0.0,3.4278271,-3.2108278,0.0,30.0,-20.0,2.0,10.0
17,0.0,3.4833338,-3.2598403,0.0,-15.0,40.0,2.0,10.0
18,0.0,3.7384372,-3.5152905,0.0,15.0,20.0,2.0,6.0
19,0.0,3.8814979,-3.5573418,0.0,-30.0,20.0,2.0,1.0
20,0.0,3.1898725,-2.9890954,0.0,-30.0,-40.0,2.0,6.0
21,0.0,3.5822458,-3.3616107,0.0,0.0,40.0,2.0,6.0
22,0.0,3.791422,-3.5076058,0.0,15.0,-20.0,2.0,5.0
23,0.0,3.2285829,-3.0209622,0.0,-30.0,-20.0,2.0,10.0
24,0.0,3.6253417,-3.4047925,0.0,-30.0,-20.0,2.0,0.0
25,0.0,3.633631,-3.2814453,0.0,-15.0,-20.0,2.0,1.0
26,0.0,3.9205544,-3.6134293,0.0,30.0,20.0,2.0,4.0
27,0.0,3.4379656,-3.218173,0.0,15.0,40.0,2.0,10.0
28,0.0,3.8745599,-3.646586,0.0,30.0,0.0,2.0,4.0
29,0.0,3.6616127,-3.3976328,0.0,30.0,0.0,2.0,6.0
30,0.0,3.7977855,-3.5725312,0.0,-30.0,0.0,2.0,4.0
31,0.0,3.6316605,-3.4142168,0.0,-15.0,-40.0,2.0,5.0
32,0.0,3.4535728,-3.2333345,0.0,-30.0,20.0,2.0,10.0
33,0.0,3.9253716,-3.6276672,0.0,30.0,0.0,2.0,1.0
34,0.0,3.5855439,-3.3752832,0.0,0.0,0.0,2.0,6.0
35,0.0,3.862902,-3.6253963,0.0,-15.0,20.0,2.0,5.0
36,0.0,3.4628456,-3.2444973,0.0,-30.0,-40.0,2.0,0.0
37,0.0,3.3397875,-3.130405,0.0,0.0,20.0,2.0,6.0
38,0.0,3.3858645,-3.171057,0.0,0.0,20.0,2.0,10.0
39,0.0,3.8458908,-3.6230237,0.0,15.0,0.0,2.0,4.0
40,0.0,3.7373693,-3.517545,0.0,30.0,-20.0,2.0,6.0
41,0.0,3.8285112,-3.5998333,0.0,-15.0,40.0,2.0,4.0
42,0.0,3.8725054,-3.6479309,0.0,-15.0,0.0,2.0,4.0
43,0.0,3.4662082,-3.244219,0.0,-30.0,0.0,2.0,10.0
44,0.0,3.6315603,-3.3935378,0.0,15.0,0.0,2.0,10.0
45,0.0,2.9868324,-2.8013275,0.0,-30.0,-20.0,2.0,6.0
46,0.0,4.024032,-3.736573,0.0,-30.0,-40.0,2.0,1.0
47,0.0,3.416188,-3.2063065,0.0,0.0,-40.0,2.0,4.0
48,0.0,3.413036,-3.1826327,0.0,15.0,40.0,2.0,5.0
49,0.0,3.581993,-3.350035,0.0,30.0,-40.0,2.0,10.0
50,0.0,3.4256625,-3.205741,0.0,0.0,40.0,2.0,10.0
51,0.0,3.2138019,-2.7961226,0.0,-15.0,40.0,2.0,1.0
52,0.0,3.6835237,-3.4387708,0.0,30.0,20.0,2.0,10.0
53,0.0,3.80469,-3.5735846,0.0,-30.0,20.0,2.0,5.0
54,0.0,3.8535233,-3.6042266,0.0,0.0,40.0,2.0,1.0
55,0.0,3.3341856,-3.1215453,0.0,-15.0,0.0,2.0,10.0
56,0.0,3.6944678,-3.3082874,0.0,15.0,0.0,2.0,5.0
57,0.0,2.8872712,-2.7017708,0.0,-30.0,-20.0,2.0,10.0
58,0.0,3.595705,-3.371975,0.0,-30.0,40.0,2.0,4.0
59,0.0,3.8792732,-3.6488326,0.0,15.0,-40.0,2.0,1.0
60,0.0,3.2566557,-3.052316,0.0,-15.0,0.0,2.0,6.0
61,0.0,3.378402,-3.1670763,0.0,15.0,-20.0,2.0,10.0
62,0.0,3.6475139,-3.404563,0.0,30.0,40.0,2.0,10.0
63,0.0,3.7715597,-3.4063458,0.0,-15.0,20.0,2.0,1.0
64,0.0,3.357595,-3.1433556,0.0,0.0,40.0,2.0,10.0
65,0.0,3.3392897,-3.1276162,0.0,15.0,-20.0,2.0,0.0
66,0.0,3.8716302,-3.644296,0.0,-15.0,20.0,2.0,4.0
67,0.0,3.2321851,-3.0262916,0.0,0.0,-40.0,2.0,10.0
68,0.0,3.2819955,-3.0723763,0.0,-30.0,-40.0,2.0,10.0
69,0.0,3.967481,-3.722984,0.0,30.0,-40.0,2.0,1.0
70,0.0,3.5773892,-3.3502955,0.0,-15.0,40.0,2.0,0.0
71,0.0,3.3058577,-3.1011271,0.0,-30.0,0.0,2.0,6.0
72,0.0,3.486852,-3.260575,0.0,15.0,20.0,2.0,10.0
73,0.0,3.7317603,-3.5138605,0.0,0.0,-20.0,2.0,4.0
74,0.0,3.514127,-3.3073862,0.0,-30.0,-20.0,2.0,5.0
75,0.0,3.3782523,-3.1622388,0.0,-30.0,40.0,2.0,10.0
76,0.0,3.5752094,-3.3431396,0.0,30.0,0.0,2.0,0.0
77,0.0,3.2960496,-3.0868855,0.0,-30.0,20.0,2.0,6.0
78,0.0,2.9023345,-2.6855536,0.0,30.0,20.0,2.0,0.0
79,0.0,3.4389608,-3.2176409,0.0,15.0,40.0,2.0,10.0
80,0.0,3.4134192,-3.1964083,0.0,15.0,20.0,2.0,0.0
81,0.0,3.5652273,-3.3357294,0.0,30.0,40.0,2.0,0.0
82,0.0,3.5062973,-3.2783873,0.0,-30.0,40.0,2.0,10.0
83,0.0,3.7744117,-3.521009,0.0,30.0,40.0,2.0,6.0
84,0.0,3.6864107,-3.4572222,0.0,0.0,40.0,2.0,4.0
85,0.0,3.9101486,-3.5375226,0.0,30.0,40.0,2.0,4.0
86,0.0,3.4556963,-3.2385745,0.0,-15.0,20.0,2.0,0.0
87,0.0,3.549018,-3.081413,0.0,30.0,20.0,2.0,1.0
88,0.0,3.208857,-3.003669,0.0,-15.0,-20.0,2.0,10.0
89,0.0,3.5947518,-3.3718886,0.0,-30.0,0.0,2.0,0.0
90,0.0,3.7719195,-3.5508413,0.0,0.0,0.0,2.0,4.0
91,0.0,3.7907593,-3.5495975,0.0,15.0,40.0,2.0,4.0
92,0.0,2.9103885,-2.4366071,0.0,30.0,40.0,2.0,1.0
93,0.0,3.6211739,-3.3943007,0.0,0.0,0.0,2.0,10.0
94,0.0,3.4473295,-3.237563,0.0,15.0,-40.0,2.0,4.0
95,0.0,3.8036559,-3.5836575,0.0,-15.0,-20.0,2.0,4.0
