,0,1,2,3,4,5,6,7
0,0.0,4.501793,-4.8223886,0.0,30.0,-20.0,2.0,4.0
1,0.0,2.1048427,-2.696871,0.0,-15.0,-20.0,2.0,2.0
2,0.0,2.2161057,-2.835762,0.0,-30.0,20.0,2.0,2.0
3,0.0,4.3233356,-4.5536695,0.0,0.0,0.0,2.0,0.0
4,0.0,3.3579714,-4.070694,0.0,-30.0,40.0,2.0,3.0
5,0.0,1.9669901,-2.589888,0.0,-15.0,-40.0,2.0,10.0
6,0.0,1.9383104,-2.0376918,0.0,0.0,-40.0,2.0,1.0
7,0.0,4.0435543,-4.699422,0.0,-15.0,40.0,2.0,10.0
8,0.0,2.2347772,-2.8292093,0.0,0.0,-20.0,2.0,2.0
9,0.0,2.3065364,-2.4066787,0.0,0.0,20.0,2.0,1.0
10,0.0,2.180948,-2.8546486,0.0,-15.0,-40.0,2.0,10.0
11,0.0,2.9219093,-3.0768514,0.0,30.0,-40.0,2.0,5.0
12,0.0,4.5468655,-4.9933567,0.0,15.0,-40.0,2.0,10.0
13,0.0,4.684857,-4.9357076,0.0,-15.0,-20.0,2.0,3.0
14,0.0,0.82152194,-1.3040191,0.0,-15.0,-20.0,2.0,6.0
15,0.0,1.9407139,-2.040395,0.0,15.0,40.0,2.0,1.0
16,0.0,3.8670073,-4.5299187,0.0,15.0,40.0,2.0,10.0
17,0.0,3.6577358,-4.356299,0.0,-30.0,40.0,2.0,5.0
18,0.0,2.6216805,-2.6692085,0.0,-30.0,0.0,2.0,1.0
19,0.0,2.8942723,-3.6793466,0.0,15.0,-40.0,2.0,10.0
20,0.0,4.200854,-4.8293757,0.0,0.0,-40.0,2.0,10.0
21,0.0,2.3121188,-2.9731944,0.0,0.0,-20.0,2.0,10.0
22,0.0,3.1391125,-3.7874327,0.0,30.0,-20.0,2.0,2.0
23,0.0,1.5826064,-2.141622,0.0,-30.0,0.0,2.0,2.0
24,0.0,3.3861697,-4.0323653,0.0,0.0,20.0,2.0,4.0
25,0.0,1.5492756,-2.135705,0.0,-15.0,-20.0,2.0,10.0
26,0.0,4.6123967,-4.9601507,0.0,30.0,-20.0,2.0,10.0
27,0.0,3.4991984,-4.1857185,0.0,-15.0,40.0,2.0,6.0
28,0.0,3.2550566,-3.9382744,0.0,0.0,20.0,2.0,10.0
29,0.0,2.9198012,-3.6218991,0.0,-15.0,40.0,2.0,10.0
30,0.0,3.3737724,-4.0678425,0.0,30.0,-20.0,2.0,10.0
31,0.0,4.6157327,-4.9481273,0.0,15.0,40.0,2.0,10.0
32,0.0,2.1823058,-2.8688548,0.0,-15.0,40.0,2.0,10.0
33,0.0,3.444311,-4.144795,0.0,15.0,20.0,2.0,6.0
34,0.0,2.0495625,-2.1276863,0.0,-30.0,20.0,2.0,1.0
35,0.0,1.6414269,-2.2836604,0.0,-30.0,-40.0,2.0,6.0
36,0.0,3.968858,-4.6218934,0.0,0.0,40.0,2.0,6.0
37,0.0,2.7311215,-2.7131772,0.0,15.0,-20.0,2.0,5.0
38,0.0,4.4291835,-4.61417,0.0,-15.0,0.0,2.0,3.0
39,0.0,1.4859113,-2.0732493,0.0,-30.0,-20.0,2.0,10.0
40,0.0,2.4661841,-3.026478,0.0,-30.0,-20.0,2.0,0.0
41,0.0,2.8320806,-2.9286387,0.0,-15.0,-20.0,2.0,1.0
42,0.0,4.3597727,-4.5877113,0.0,30.0,20.0,2.0,4.0
43,0.0,4.0608735,-4.7072697,0.0,15.0,40.0,2.0,10.0
44,0.0,3.665765,-4.3702226,0.0,15.0,-40.0,2.0,10.0
45,0.0,4.440922,-4.8350863,0.0,30.0,0.0,2.0,4.0
46,0.0,4.2391114,-4.416573,0.0,30.0,0.0,2.0,6.0
47,0.0,2.3904243,-3.0934026,0.0,-30.0,40.0,2.0,10.0
48,0.0,1.6297158,-2.224821,0.0,-30.0,-20.0,2.0,10.0
49,0.0,4.067482,-4.2824016,0.0,-30.0,0.0,2.0,4.0
50,0.0,3.8969703,-4.564864,0.0,-15.0,-40.0,2.0,5.0
51,0.0,4.1927347,-4.765811,0.0,0.0,-20.0,2.0,10.0
52,0.0,1.9111222,-2.5369084,0.0,-30.0,20.0,2.0,10.0
53,0.0,4.667113,-5.0053473,0.0,0.0,-20.0,2.0,3.0
54,0.0,2.906813,-2.9987023,0.0,30.0,0.0,2.0,1.0
55,0.0,1.5778068,-2.1430767,0.0,-15.0,0.0,2.0,10.0
56,0.0,4.6155443,-4.897178,0.0,15.0,-20.0,2.0,3.0
57,0.0,2.8420606,-3.519347,0.0,-15.0,20.0,2.0,10.0
58,0.0,1.7333225,-2.2867236,0.0,0.0,0.0,2.0,6.0
59,0.0,3.5413027,-4.2417197,0.0,-15.0,20.0,2.0,5.0
60,0.0,1.9425379,-2.5768337,0.0,-30.0,-20.0,2.0,10.0
61,0.0,3.7737887,-4.126809,0.0,-30.0,-40.0,2.0,0.0
62,0.0,4.573645,-5.019488,0.0,0.0,40.0,2.0,10.0
63,0.0,2.537914,-3.2228034,0.0,0.0,20.0,2.0,6.0
64,0.0,4.3891335,-4.6027875,0.0,30.0,40.0,2.0,10.0
65,0.0,2.0300064,-2.648898,0.0,0.0,20.0,2.0,10.0
66,0.0,4.024133,-4.214662,0.0,15.0,0.0,2.0,4.0
67,0.0,4.176785,-4.3386393,0.0,30.0,-20.0,2.0,6.0
68,0.0,4.4098444,-4.8910213,0.0,-15.0,40.0,2.0,4.0
69,0.0,4.1141586,-4.314109,0.0,-15.0,0.0,2.0,4.0
70,0.0,1.4859921,-2.0613651,0.0,-30.0,0.0,2.0,10.0
71,0.0,4.6124525,-4.9998593,0.0,-15.0,-40.0,2.0,3.0
72,0.0,2.588011,-3.2844133,0.0,15.0,0.0,2.0,10.0
73,0.0,4.550965,-4.8658895,0.0,30.0,-40.0,2.0,10.0
74,0.0,0.73588896,-1.2342108,0.0,-30.0,-20.0,2.0,6.0
75,0.0,2.1477275,-2.7541373,0.0,-30.0,-40.0,2.0,2.0
76,0.0,2.1263695,-2.2029328,0.0,-30.0,-40.0,2.0,1.0
77,0.0,4.511896,-4.9270983,0.0,0.0,-40.0,2.0,4.0
78,0.0,1.4954386,-1.6245394,0.0,15.0,40.0,2.0,5.0
79,0.0,2.0050287,-2.6124182,0.0,-15.0,20.0,2.0,10.0
80,0.0,3.4739738,-4.199191,0.0,30.0,-40.0,2.0,10.0
81,0.0,4.644402,-5.016303,0.0,0.0,-40.0,2.0,3.0
82,0.0,2.8176491,-3.5417964,0.0,0.0,40.0,2.0,10.0
83,0.0,4.332032,-4.9162,0.0,0.0,40.0,2.0,2.0
84,0.0,0.8102491,-0.703612,0.0,-15.0,40.0,2.0,1.0
85,0.0,2.4142787,-3.0787363,0.0,-30.0,40.0,2.0,2.0
86,0.0,2.547364,-3.2746265,0.0,30.0,20.0,2.0,10.0
87,0.0,3.191764,-3.9065528,0.0,-30.0,20.0,2.0,5.0
88,0.0,2.0921853,-2.2233293,0.0,0.0,40.0,2.0,1.0
89,0.0,1.3248302,-1.8545783,0.0,-15.0,0.0,2.0,10.0
90,0.0,4.497231,-4.9398975,0.0,15.0,0.0,2.0,5.0
91,0.0,1.5101141,-2.0984309,0.0,-30.0,-20.0,2.0,10.0
92,0.0,3.7147064,-4.4274716,0.0,-30.0,40.0,2.0,4.0
93,0.0,1.606034,-1.6754823,0.0,15.0,-40.0,2.0,1.0
94,0.0,0.83928525,-1.3084008,0.0,-15.0,0.0,2.0,6.0
95,0.0,3.6166475,-4.32074,0.0,15.0,-20.0,2.0,10.0
96,0.0,2.2028236,-2.81689,0.0,0.0,0.0,2.0,2.0
97,0.0,3.1174216,-3.7921617,0.0,-15.0,-40.0,2.0,2.0
98,0.0,4.436901,-4.91981,0.0,30.0,20.0,2.0,10.0
99,0.0,3.1713212,-3.8271613,0.0,15.0,20.0,2.0,2.0
100,0.0,3.6799917,-4.3122473,0.0,30.0,40.0,2.0,10.0
101,0.0,2.230381,-2.2791233,0.0,-15.0,20.0,2.0,1.0
102,0.0,3.1173148,-3.8481908,0.0,0.0,40.0,2.0,10.0
103,0.0,2.8747826,-3.543002,0.0,30.0,-40.0,2.0,2.0
104,0.0,4.527643,-4.7935786,0.0,15.0,20.0,2.0,3.0
105,0.0,2.8926654,-2.982537,0.0,15.0,-20.0,2.0,0.0
106,0.0,4.0774117,-4.280205,0.0,-15.0,20.0,2.0,4.0
107,0.0,3.9245527,-4.553006,0.0,15.0,0.0,2.0,10.0
108,0.0,2.350484,-3.0361478,0.0,0.0,-40.0,2.0,10.0
109,0.0,1.6757871,-2.3191087,0.0,-30.0,-40.0,2.0,10.0
110,0.0,2.1140661,-2.1597865,0.0,30.0,-40.0,2.0,1.0
111,0.0,3.5284152,-4.2172785,0.0,-15.0,40.0,2.0,0.0
112,0.0,1.9320357,-2.5177984,0.0,0.0,20.0,2.0,2.0
113,0.0,0.87165195,-1.3522159,0.0,-30.0,0.0,2.0,6.0
114,0.0,2.3764694,-3.0717463,0.0,15.0,20.0,2.0,10.0
115,0.0,4.50903,-4.8567195,0.0,0.0,-20.0,2.0,4.0
116,0.0,1.8892668,-2.541611,0.0,-30.0,-20.0,2.0,5.0
117,0.0,2.0366807,-2.71137,0.0,-30.0,40.0,2.0,10.0
